id,name,CategoryLevel1Id
27-16,BAÑO,27
27-17,COCINA - COCCION,27
27-18,COCINA - UTILES,27
27-19,SERVICIO DE MESA,27
27-20,COMESTIBLES & BEBIDAS,27
27-21,DECORACION,27
27-22,EQUIPAJE,27
27-23,ORGANIZACIÓN,27
27-24,PLAYA-CAMPING,27
27-25,TEXTIL  DORMITORIO,27
27-26,MISCELANEOS,27
27-28,CUIDADO Y BELLEZA,27
28-16,DORMITORIO,28
28-17,COCINA,28
28-18,COMEDORES,28
28-19,INFANTILES,28
28-20,MUEBLES PARA TV,28
28-21,OFICINA,28
28-22,SALA,28
28-23,TERRAZA & EXTERIORES,28
29-16,ARBOL,29
29-17,DECORACION,29
29-18,HOGAR,29
29-19,NACIMIENTOS,29
29-20,VARIOS,29
30-16,DEPORTIVOS,30
30-17,MIXTO,30
30-18,NIÑA,30
30-19,NIÑO,30
30-20,PLAYA & PISCINAS,30
30-22,INFANTIL,30
31-16,AUDIO,31
31-17,IMAGEN,31
31-18,GAMA  BLANCA,31
31-19,PEQUEÑO  APARATO,31
31-20,TECNOLOGIA,31
31-21,TELEFONIA,31
31-22,FERRETERIA,31
31-23,EQUIPOS DE GIMNASIA,31
31-24,INSTRUMENTOS MUSICALES,31
31-25,TRANSPORTE,31
32-16,INFANTES - NIÑAS,32
32-17,INFANTES - NIÑOS,32
32-18,NIÑAS,32
32-19,NIÑOS,32
32-20,DAMAS,32
32-21,CABALLEROS,32
34-16,ACCESORIOS,34
34-17,BAÑO,34
34-18,ENTRETEMIENTO,34
34-19,PRIMARIOS,34
34-20,MODA NIÑAS,34
34-21,MODA NIÑOS,34
35-16,ARTE,35
35-17,ESCOLAR,35
35-18,ESCRITURA,35
35-19,OFICINA,35
35-20,PAPELES & CARTULINAS,35
35-21,REGALERIA & FIESTA,35
35-22,PROMOCIONES,35
35-23,GADGETS,35
35-24,REGALOS,35
36-16,INDUSTRIAL,36
36-17,INDUSTRIAL2,36
37-16,GARANTIAS  EXTENDIDAS,37
37-17,INDUSTRIAL,37
37-18,PAPELERIA & REGALERIA,37
37-19,RECARGAS,37
37-20,SERVICIOS - VARIOS,37
37-21,TARJETAS REGALO PYCCA,37
37-22,MASCOTAS,37
37-23,COSMETICOS,37
38-16,CAPILAR,38
38-17,MAQUILLAJE,38
38-18,COMPLEMENTOS,38
38-19,HAPPY,38
38-20,PERFUMES,38
38-21,TRATAMIENTOS,38
39-16,BOLSOS & CARTERAS,39
39-17,BUFANDAS,39
39-18,GAFAS,39
39-19,GORRAS,39
39-20,LLAVEROS,39
39-21,RELOJES,39
39-22,SALUD,39
40-16,DOTACION,40
40-17,MEDICINA,40
40-18,LIMPIEZA,40
40-19,COMPUTO,40
40-20,OFICINA,40
40-21,PERIFÉRICOS,40
41-16,GATOS,41
41-17,PERROS,41
41-18,PET  LOVERS,41
41-19,SALUD & BINESTAR,41
42-16,HERRAMIENTAS Y MANTENIMIENTO,42
42-17,CARPINTERIA,42
42-18,CREDIPYCCA,42
42-19,DOTACION,42
42-20,ELABORACION DE MUEBLES,42
42-21,ELEMENTOS DE SEGURIDAD,42
42-22,EMPAQUES,42
42-23,EXHIBIDORES,42
42-24,HERRAMIENTAS,42
42-25,LETRERO,42
42-26,MATENTIMIENTO DE VEHICULOS,42
42-27,MATERIAL POP,42
42-28,PAPELERIA,42
42-29,PISO,42
42-30,REVISTA,42
42-31,RRHH,42
42-32,MATERIALES,42
42-33,MATERIALES ELECTRICOS,42
42-34,MATERIALES GYPSUM,42
42-35,MATERIALES PINTURA,42
42-36,MATERIALES GASFITERIA,42
43-16,COMPUTACIÓN,43
43-17,VEHICULOS,43
43-18,EQUIPOS,43
43-19,MUEBLES Y ENCERES,43
44-16,OBRAS,44
44-17,MATERIAL POP,44
44-18,ELEMENTOS DE SEGURIDAD,44
44-19,ELABORACION DE MUEBLES,44
44-20,EXHIBIDORES,44
44-21,LETRERO,44
44-22,MATERIALES ELECTRICOS,44
44-23,MATERIALES GYPSUM,44
44-24,MATERIALES PINTURA,44
44-25,MATERIALES GASFITERIA,44
45-16,PROMOCIONALES,45
