Date,Quantity
2025-08-01,6.57242009169668
2025-08-02,5.8987214528801495
2025-08-03,5.883685569907544
2025-08-04,5.210698736621374
2025-08-05,5.45785314219368
2025-08-06,5.404733460145868
2025-08-07,6.578430253722055
2025-08-08,6.754423666446088
2025-08-09,6.258604178311391
2025-08-10,6.243568295338785
2025-08-11,5.289935810737415
2025-08-12,5.53709021630972
2025-08-13,5.483970534261909
2025-08-14,6.682639644453299
2025-08-15,6.754423666446088
2025-08-16,6.258604178311391
2025-08-17,6.243568295338785
2025-08-18,5.289935810737415
2025-08-19,5.53709021630972
2025-08-20,5.483970534261909
2025-08-21,6.682639644453299
2025-08-22,6.754423666446088
2025-08-23,6.258604178311391
2025-08-24,6.243568295338785
2025-08-25,5.289935810737415
2025-08-26,5.53709021630972
2025-08-27,5.483970534261909
2025-08-28,6.682639644453299
2025-08-29,6.754423666446088
2025-08-30,6.258604178311391
2025-08-31,6.243568295338785
2025-09-01,5.40651053507387
2025-09-02,5.583834209440421
2025-09-03,5.583834209440421
2025-09-04,6.7992143687897535
2025-09-05,6.8709983907825425
2025-09-06,6.380920389011432
2025-09-07,6.365884506038826
2025-09-08,5.40651053507387
2025-09-09,5.583834209440421
2025-09-10,5.583834209440421
2025-09-11,6.7992143687897535
2025-09-12,6.8709983907825425
2025-09-13,6.380920389011432
2025-09-14,6.365884506038826
2025-09-15,5.40651053507387
2025-09-16,5.583834209440421
2025-09-17,5.583834209440421
2025-09-18,6.7992143687897535
2025-09-19,6.8709983907825425
2025-09-20,6.380920389011432
2025-09-21,6.365884506038826
2025-09-22,5.40651053507387
2025-09-23,5.583834209440421
2025-09-24,5.583834209440421
2025-09-25,6.7992143687897535
2025-09-26,6.8709983907825425
2025-09-27,6.380920389011432
2025-09-28,6.365884506038826
2025-09-29,5.40651053507387
2025-09-30,5.583834209440421
2025-10-01,5.294740427855993
2025-10-02,6.2614223463614485
2025-10-03,6.310395475638961
2025-10-04,5.917627527862906
2025-10-05,5.9025916448903
2025-10-06,5.117416753489442
2025-10-07,5.3645711590617475
2025-10-08,5.3645711590617475
2025-10-09,6.2614223463614485
2025-10-10,6.310395475638961
2025-10-11,5.917627527862906
2025-10-12,5.9025916448903
2025-10-13,5.117416753489442
2025-10-14,5.3645711590617475
2025-10-15,5.3645711590617475
2025-10-16,6.2614223463614485
2025-10-17,6.310395475638961
2025-10-18,5.917627527862906
2025-10-19,5.9025916448903
2025-10-20,5.117416753489442
2025-10-21,5.3645711590617475
2025-10-22,5.3645711590617475
2025-10-23,6.2614223463614485
2025-10-24,6.310395475638961
2025-10-25,5.917627527862906
2025-10-26,5.9025916448903
2025-10-27,5.117416753489442
2025-10-28,5.3645711590617475
2025-10-29,5.3645711590617475
2025-08-01,6.7147952063593435
2025-08-02,6.258604178311391
2025-08-03,6.243568295338785
2025-08-04,5.289935810737415
2025-08-05,5.53709021630972
2025-08-06,5.483970534261909
2025-08-07,6.682639644453299
2025-08-08,6.754423666446088
2025-08-09,6.258604178311391
2025-08-10,6.243568295338785
2025-08-11,5.289935810737415
2025-08-12,5.53709021630972
2025-08-13,5.483970534261909
2025-08-14,6.682639644453299
2025-08-15,6.754423666446088
2025-08-16,6.258604178311391
2025-08-17,6.243568295338785
2025-08-18,5.289935810737415
2025-08-19,5.53709021630972
2025-08-20,5.483970534261909
2025-08-21,6.682639644453299
2025-08-22,6.754423666446088
2025-08-23,6.258604178311391
2025-08-24,6.243568295338785
2025-08-25,5.289935810737415
2025-08-26,5.53709021630972
2025-08-27,5.483970534261909
2025-08-28,6.682639644453299
2025-08-29,6.754423666446088
2025-08-30,6.258604178311391
2025-08-31,6.243568295338785
2025-09-01,5.40651053507387
2025-09-02,5.583834209440421
2025-09-03,5.583834209440421
2025-09-04,6.7992143687897535
2025-09-05,6.8709983907825425
2025-09-06,6.380920389011432
2025-09-07,6.365884506038826
2025-09-08,5.40651053507387
2025-09-09,5.583834209440421
2025-09-10,5.583834209440421
2025-09-11,6.7992143687897535
2025-09-12,6.8709983907825425
2025-09-13,6.380920389011432
2025-09-14,6.365884506038826
2025-09-15,5.40651053507387
2025-09-16,5.583834209440421
2025-09-17,5.583834209440421
2025-09-18,6.7992143687897535
2025-09-19,6.8709983907825425
2025-09-20,6.380920389011432
2025-09-21,6.365884506038826
2025-09-22,5.40651053507387
2025-09-23,5.583834209440421
2025-09-24,5.583834209440421
2025-09-25,6.7992143687897535
2025-09-26,6.8709983907825425
2025-09-27,6.380920389011432
2025-09-28,6.365884506038826
2025-09-29,5.40651053507387
2025-09-30,5.583834209440421
2025-10-01,5.294740427855993
2025-10-02,6.2614223463614485
2025-10-03,6.310395475638961
2025-10-04,5.917627527862906
2025-10-05,5.9025916448903
2025-10-06,5.117416753489442
2025-10-07,5.3645711590617475
2025-10-08,5.3645711590617475
2025-10-09,6.2614223463614485
2025-10-10,6.310395475638961
2025-10-11,5.917627527862906
2025-10-12,5.9025916448903
2025-10-13,5.117416753489442
2025-10-14,5.3645711590617475
2025-10-15,5.3645711590617475
2025-10-16,6.2614223463614485
2025-10-17,6.310395475638961
2025-10-18,5.917627527862906
2025-10-19,5.9025916448903
2025-10-20,5.117416753489442
2025-10-21,5.3645711590617475
2025-10-22,5.3645711590617475
2025-10-23,6.2614223463614485
2025-10-24,6.310395475638961
2025-10-25,5.917627527862906
2025-10-26,5.9025916448903
2025-10-27,5.117416753489442
2025-10-28,5.3645711590617475
2025-10-29,5.3645711590617475
